int_node_id	str_node_id
1	ENSP00000389326
2	ENSP00000363822
3	ENSP00000414150
4	ENSP00000405327
5	ENSP00000321835
6	ENSP00000370253
7	ENSP00000355759
8	ENSP00000313420
9	ENSP00000356113
10	ENSP00000381588
11	ENSP00000355627
12	ENSP00000353731
13	ENSP00000230588
14	ENSP00000418525
15	ENSP00000377055
16	ENSP00000272190
17	ENSP00000478639
18	ENSP00000361965
19	ENSP00000339191
20	ENSP00000346839
21	ENSP00000387662
22	ENSP00000379350
23	ENSP00000225831
24	ENSP00000379110
25	ENSP00000427279
26	ENSP00000306512
27	ENSP00000344192
28	ENSP00000263339
29	ENSP00000263341
30	ENSP00000385675
31	ENSP00000357470
32	ENSP00000349508
33	ENSP00000352516
34	ENSP00000430432
35	ENSP00000256429
36	ENSP00000331310
37	ENSP00000333633
38	ENSP00000278823
39	ENSP00000262241
40	ENSP00000296504
41	ENSP00000269305
42	ENSP00000276927
43	ENSP00000369554
44	ENSP00000270139
45	ENSP00000343957
46	ENSP00000369581
47	ENSP00000343204
48	ENSP00000354394
49	ENSP00000315768
50	ENSP00000431885
51	ENSP00000264110
52	ENSP00000262367
53	ENSP00000263253
54	ENSP00000464030
55	ENSP00000471896
56	ENSP00000360266
57	ENSP00000401980
58	ENSP00000384273
59	ENSP00000329967
60	ENSP00000222139
61	ENSP00000304895
62	ENSP00000371067
63	ENSP00000330393
64	ENSP00000340944
65	ENSP00000329418
66	ENSP00000330341
67	ENSP00000264657
68	ENSP00000341208
69	ENSP00000290349
70	ENSP00000305422
71	ENSP00000295256
72	ENSP00000360687
73	ENSP00000342385
74	ENSP00000345341
75	ENSP00000482075
76	ENSP00000244043
77	ENSP00000354612
78	ENSP00000356713
79	ENSP00000245414
80	ENSP00000380073
81	ENSP00000343701
82	ENSP00000249636
83	ENSP00000380697
84	ENSP00000483825
85	ENSP00000376505
86	ENSP00000398698
87	ENSP00000162749
88	ENSP00000341268
89	ENSP00000362994
90	ENSP00000247668
91	ENSP00000454207
92	ENSP00000382840
93	ENSP00000230449
94	ENSP00000368022
95	ENSP00000354777
96	ENSP00000331288
97	ENSP00000263464
98	ENSP00000361359
99	ENSP00000401445
100	ENSP00000351908
101	ENSP00000259808
102	ENSP00000227752
103	ENSP00000290200
104	ENSP00000470788
716	ENSP00000477949
717	ENSP00000305302
718	ENSP00000316228
719	ENSP00000264938
720	ENSP00000266041
721	ENSP00000350005
722	ENSP00000411355
723	ENSP00000370698
724	ENSP00000262238
725	ENSP00000215794
726	ENSP00000369578
727	ENSP00000293328
728	ENSP00000356438
729	ENSP00000362179
